maintenance_id,property_id,maintenance_date,maintenance_type,cost,description
1,413,12/12/2023,Roofing replacement,2866,1-740 - Cleaning
2,488,12/31/2022,Painting,3038,13-110 - Cathodic Protection
3,699,11/20/2020,HVAC servicing,4154,11-080 - Registration Equipment
4,463,4/2/2021,Flooring repair,2264,1-012 - Superintendent
5,168,7/5/2019,HVAC servicing,1466,5-300 - Metal Deck
6,809,1/8/2022,Roofing replacement,5336,11-120 - Vending Equipment
7,149,12/29/2019,HVAC servicing,2413,16-300 - Transmission and Distribution
8,532,6/19/2022,Flooring repair,4056,2-812 - Drip Irrigation
9,839,11/1/2023,Painting,5215,2-821 - Chain Link Fences
10,716,1/1/2020,Roofing replacement,654,1-540 - Construction Aids
11,836,4/5/2020,Electrical maintenance,1127,4-700 - Simulated Masonry
12,762,12/31/2022,,742,11-600 - Laboratory Equipment
13,396,12/22/2019,Window replacement,9300,5-600 - Hydraulic Fabrications
14,179,5/28/2019,Electrical maintenance,4473,12-700 - Systems Furniture
15,812,7/19/2021,Window replacement,4622,11-870 - Agricultural Equipment
16,543,5/17/2022,HVAC servicing,7505,13-160 - Aquariums
17,386,1/22/2021,Flooring repair,1676,11-650 - Planetarium Equipment
18,454,5/29/2019,Flooring repair,2847,13-400 - Measurement and Control Instrumentation
19,671,7/8/2021,Window replacement,1909,3-540 - Cementitious Underlayments
20,158,3/30/2023,Painting,9651,13 - Special Construction
21,212,8/19/2022,Electrical maintenance,6157,2-220 - Site Demolition
22,660,9/5/2021,Painting,3646,9-250 - Gypsum Wallboard
23,731,2/11/2020,HVAC servicing,9842,15-200 - Process Piping
24,16,10/15/2020,Window replacement,9077,14 - Conveying Systems
25,303,3/3/2019,Roofing replacement,7596,11-060 - Theater and Stage Equipment
26,568,8/8/2023,Electrical maintenance,6315,4-400 - Stone
27,383,3/19/2023,Roofing replacement,8645,10-290 - Pest Control
28,851,4/16/2023,HVAC servicing,404,1-523 - Sanitary Facilities
29,287,8/29/2020,Electrical maintenance,8785,13-600 - Solar and Wind Energy Equipment
30,567,6/14/2021,HVAC servicing,4683,1-010 - Project Manager
31,350,8/18/2019,Flooring repair,656,3-300 - Footings
32,509,1/14/2023,Flooring repair,4067,13-160 - Aquariums
33,526,2/13/2021,Window replacement,589,13-500 - Recording Instrumentation
34,455,7/20/2023,Painting,1455,15-400 - Plumbing Fixtures and Equipment
35,887,6/2/2020,Window replacement,1720,10-150 - Compartments and Cubicles
36,842,9/18/2021,Electrical maintenance,4025,12-500 - Furniture
37,486,11/22/2021,Roofing replacement,6266,10-240 - Grilles and Screens
38,280,5/21/2020,Roofing replacement,2237,10 - Specialties
39,683,2/16/2023,Flooring repair,4675,1-002 - Instructions
40,872,8/10/2019,HVAC servicing,5014,10-200 - Louvers and Vents
41,855,4/16/2020,Plumbing repair,1728,2-936 - Fertilizer
42,11,6/12/2020,HVAC servicing,9290,7 - Thermal and Moisture Protection
43,675,5/5/2019,Flooring repair,8826,3-400 - Precast Concrete
44,339,8/14/2021,HVAC servicing,1491,2-625 - Retaining Wall Drainage Piping
45,337,4/12/2019,,6087,1-002 - Instructions
46,497,8/23/2021,HVAC servicing,7129,11-100 - Mercantile Equipment
47,547,6/18/2019,Plumbing repair,1311,11-040 - Ecclesiastical Equipment
48,554,10/19/2021,HVAC servicing,4781,10-500 - Lockers
49,544,11/14/2022,Flooring repair,8898,"15-950 - Testing, Adjusting, and Balancing"
50,939,7/13/2021,Window replacement,2953,1-510 - Temporary Utilities
51,828,11/6/2022,Flooring repair,8736,1-011 - Project Engineer
52,583,2/16/2022,Flooring repair,5137,5-500 - Metal Fabrications
53,59,9/15/2023,HVAC servicing,1358,6-050 - Basic Wood and Plastic Materials and Methods
54,572,5/28/2019,Painting,1596,2-500 - Utility Services
55,747,5/11/2022,Electrical maintenance,4761,1-012 - Superintendent
56,453,11/5/2021,Window replacement,3209,2-240 - Dewatering
57,778,12/13/2019,Plumbing repair,4953,12 - Furnishings
58,560,6/2/2019,Electrical maintenance,5322,2-220 - Site Demolition
59,202,6/7/2022,Window replacement,8792,11-780 - Mortuary Equipment
60,566,8/22/2020,Plumbing repair,9191,4-400 - Stone
61,27,2/4/2021,Plumbing repair,233,3-210 - Cast-In-Place Concrete
62,403,11/29/2019,Plumbing repair,2561,13-550 - Transportation Control Instrumentation
63,391,1/29/2023,Flooring repair,2134,11-150 - Parking Control Equipment
64,758,3/29/2020,Window replacement,7841,5-100 - Structural Metals
65,10,10/30/2021,Painting,1466,2-812 - Drip Irrigation
66,861,8/31/2021,Roofing replacement,3014,2-821 - Chain Link Fences
67,395,9/8/2019,Electrical maintenance,441,11-100 - Mercantile Equipment
68,628,6/17/2022,Electrical maintenance,6405,8-700 - Hardware
69,64,5/24/2019,Electrical maintenance,8286,11-200 - Water Supply and Treatment Equipment
70,346,8/11/2022,Window replacement,2824,2-935 - Plant Maintenance
71,785,9/28/2023,HVAC servicing,5598,4-400 - Stone
72,759,3/12/2021,Painting,108,13-240 - Oxygenation Systems
73,174,3/13/2020,Window replacement,7286,11-850 - Navigation Equipment
74,561,12/1/2020,Plumbing repair,6545,13-175 - Ice Rinks
75,398,8/7/2021,Plumbing repair,8696,1-640 - Owner Furnished Products
76,327,3/3/2021,HVAC servicing,3376,2-311 - Final Grading
77,35,12/10/2022,Electrical maintenance,735,2-781 - Asphalt Pavers
78,676,8/9/2020,Plumbing repair,642,8 - Doors and Windows
79,969,8/4/2022,Painting,5475,10-350 - Flagpoles
80,296,7/27/2021,Window replacement,6401,15 - Mechanical
81,308,5/8/2023,Painting,967,13-550 - Transportation Control Instrumentation
82,381,2/12/2020,,5012,10-200 - Louvers and Vents
83,432,4/9/2023,Electrical maintenance,8240,11-150 - Parking Control Equipment
84,718,2/25/2022,Painting,1762,4-700 - Simulated Masonry
85,251,1/29/2021,Painting,3868,15-200 - Process Piping
86,910,5/18/2022,Window replacement,9701,5-100 - Structural Metals
87,61,6/2/2022,Electrical maintenance,1545,6-100 - Rough Carpentry
88,577,6/12/2022,Roofing replacement,846,5-200 - Metal Joists
89,176,3/29/2020,Window replacement,910,11-130 - Audio-Visual Equipment
90,67,1/14/2020,Roofing replacement,5997,13-800 - Building Automation and Control
91,611,12/11/2022,Window replacement,5390,11-160 - Loading Dock Equipment
92,54,2/7/2022,Window replacement,8755,3 - Concrete
93,1000,5/28/2019,Painting,9651,13-230 - Digester Covers and Appurtenances
94,5,10/23/2023,Plumbing repair,3528,10-900 - Wardrobe and Closet Specialties
95,673,5/3/2023,Electrical maintenance,9796,2-900 - Landscaping
96,986,3/12/2020,Flooring repair,3466,2-740 - Flexible Pavement Asphalt Pavement
97,968,3/23/2019,Electrical maintenance,6336,2-300 - Earthwork
98,743,10/5/2020,Flooring repair,2753,10-100 - Visual Display Boards
99,858,1/4/2019,Painting,7324,10-530 - Protective Covers
100,408,8/14/2019,Painting,5962,4 - Masonry
101,100,8/28/2019,Flooring repair,4358,1-511 - Temporary Electricity
102,32,5/18/2022,Roofing replacement,9259,11-280 - Hydraulic Gates and Valves
103,948,10/3/2019,Plumbing repair,3669,10-300 - Fireplaces and Stoves
104,226,9/30/2023,Painting,3392,13-150 - Swimming Pools
105,896,3/24/2021,Flooring repair,5042,4-200 - Masonry Units
106,218,10/17/2023,Plumbing repair,5374,11-900 - Exhibit Equipment
